,quantity,pack_size,delirium,type,amount,normalized,grove,map_seed,plot,tier_3_upgrade,tier_4_upgrade,t1,t2,t3,t4,sacred drops
0,108.0,31.0,20.0,Wild,28,18.18181818181818,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
1,108.0,31.0,20.0,Wild,72,46.75324675324675,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
2,108.0,31.0,20.0,Wild,63,40.90909090909091,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
3,108.0,31.0,20.0,Wild,82,53.246753246753244,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
4,108.0,31.0,20.0,Wild,84,54.54545454545455,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
5,108.0,31.0,20.0,Wild,29,18.83116883116883,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
6,108.0,31.0,20.0,Wild,72,46.75324675324675,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
7,108.0,31.0,20.0,Wild,25,16.233766233766232,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
8,108.0,31.0,20.0,Wild,38,24.675324675324674,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
9,108.0,31.0,20.0,Wild,424,275.3246753246753,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
10,108.0,31.0,20.0,Wild,19,12.337662337662337,0,0,0,0.1,0.02,0,39.0,5.0,1.0,0.0
12,108.0,31.0,20.0,Primal,63,40.90909090909091,0,0,0,0.1,0.02,0,0.0,2.0,0.0,0.0
13,108.0,31.0,20.0,Primal,76,49.35064935064935,0,0,0,0.1,0.02,0,0.0,2.0,0.0,0.0
14,108.0,31.0,20.0,Wild,28,18.18181818181818,0,0,1,0.1,0.02,0,26.0,3.0,0.0,0.0
15,108.0,31.0,20.0,Wild,67,43.506493506493506,0,0,1,0.1,0.02,0,26.0,3.0,0.0,0.0
16,108.0,31.0,20.0,Wild,81,52.5974025974026,0,0,1,0.1,0.02,0,26.0,3.0,0.0,0.0
17,108.0,31.0,20.0,Wild,84,54.54545454545455,0,0,1,0.1,0.02,0,26.0,3.0,0.0,0.0
18,108.0,31.0,20.0,Wild,83,53.896103896103895,0,0,1,0.1,0.02,0,26.0,3.0,0.0,0.0
19,108.0,31.0,20.0,Wild,29,18.83116883116883,0,0,1,0.1,0.02,0,26.0,3.0,0.0,0.0
20,108.0,31.0,20.0,Wild,34,22.07792207792208,0,0,1,0.1,0.02,0,26.0,3.0,0.0,0.0
21,108.0,31.0,20.0,Primal,25,16.233766233766232,0,0,1,0.1,0.02,0,17.0,0.0,0.0,0.0
22,108.0,31.0,20.0,Primal,23,14.935064935064934,0,0,1,0.1,0.02,0,17.0,0.0,0.0,0.0
23,108.0,31.0,20.0,Vivid,66,42.857142857142854,0,0,1,0.1,0.02,0,0.0,1.0,0.0,0.0
24,108.0,31.0,20.0,Wild,78,50.64935064935065,0,0,2,0.1,0.02,0,0.0,3.0,0.0,0.0
25,108.0,31.0,20.0,Wild,57,37.01298701298701,0,0,2,0.1,0.02,0,0.0,3.0,0.0,0.0
26,108.0,31.0,20.0,Wild,57,37.01298701298701,0,0,2,0.1,0.02,0,0.0,3.0,0.0,0.0
27,108.0,31.0,20.0,Primal,61,39.61038961038961,0,0,2,0.1,0.02,0,19.0,4.0,1.0,0.0
28,108.0,31.0,20.0,Primal,87,56.493506493506494,0,0,2,0.1,0.02,0,19.0,4.0,1.0,0.0
29,108.0,31.0,20.0,Primal,76,49.35064935064935,0,0,2,0.1,0.02,0,19.0,4.0,1.0,0.0
30,108.0,31.0,20.0,Primal,38,24.675324675324674,0,0,2,0.1,0.02,0,19.0,4.0,1.0,0.0
31,108.0,31.0,20.0,Primal,76,49.35064935064935,0,0,2,0.1,0.02,0,19.0,4.0,1.0,0.0
32,108.0,31.0,20.0,Primal,68,44.15584415584416,0,0,2,0.1,0.02,0,19.0,4.0,1.0,0.0
33,108.0,31.0,20.0,Primal,380,246.75324675324674,0,0,2,0.1,0.02,0,19.0,4.0,1.0,0.0
35,108.0,31.0,20.0,Vivid,22,14.285714285714285,0,0,2,0.1,0.02,0,19.0,0.0,0.0,0.0
36,108.0,31.0,20.0,Wild,22,14.285714285714285,0,0,3,0.1,0.02,0,26.0,0.0,0.0,0.0
37,108.0,31.0,20.0,Primal,34,22.07792207792208,0,0,3,0.1,0.02,0,19.0,1.0,0.0,0.0
38,108.0,31.0,20.0,Primal,31,20.12987012987013,0,0,3,0.1,0.02,0,19.0,1.0,0.0,0.0
39,108.0,31.0,20.0,Primal,31,20.12987012987013,0,0,3,0.1,0.02,0,19.0,1.0,0.0,0.0
40,108.0,31.0,20.0,Primal,83,53.896103896103895,0,0,3,0.1,0.02,0,19.0,1.0,0.0,0.0
41,108.0,31.0,20.0,Vivid,69,44.8051948051948,0,0,3,0.1,0.02,0,0.0,1.0,0.0,0.0
42,125.0,39.0,20.0,Wild,79,48.61538461538461,1,1,4,0.11,0.02,0,0.0,4.0,0.0,0.0
43,125.0,39.0,20.0,Wild,92,56.61538461538461,1,1,4,0.11,0.02,0,0.0,4.0,0.0,0.0
44,125.0,39.0,20.0,Wild,66,40.61538461538461,1,1,4,0.11,0.02,0,0.0,4.0,0.0,0.0
45,125.0,39.0,20.0,Wild,72,44.30769230769231,1,1,4,0.11,0.02,0,0.0,4.0,0.0,0.0
46,125.0,39.0,20.0,Wild,82,50.46153846153846,1,1,4,0.11,0.02,0,0.0,4.0,0.0,0.0
47,125.0,39.0,20.0,Primal,88,54.15384615384615,1,1,4,0.11,0.02,0,24.0,4.0,0.0,0.0
48,125.0,39.0,20.0,Primal,72,44.30769230769231,1,1,4,0.11,0.02,0,24.0,4.0,0.0,0.0
49,125.0,39.0,20.0,Primal,23,14.153846153846153,1,1,4,0.11,0.02,0,24.0,4.0,0.0,0.0
50,125.0,39.0,20.0,Primal,40,24.615384615384617,1,1,4,0.11,0.02,0,24.0,4.0,0.0,0.0
51,125.0,39.0,20.0,Primal,86,52.92307692307692,1,1,4,0.11,0.02,0,24.0,4.0,0.0,0.0
52,125.0,39.0,20.0,Primal,91,56.0,1,1,4,0.11,0.02,0,24.0,4.0,0.0,0.0
53,125.0,39.0,20.0,Primal,70,43.07692307692308,1,1,4,0.11,0.02,0,24.0,4.0,0.0,0.0
54,125.0,39.0,20.0,Vivid,40,24.615384615384617,1,1,4,0.11,0.02,0,15.0,0.0,0.0,0.0
55,125.0,39.0,20.0,Vivid,36,22.153846153846153,1,1,4,0.11,0.02,0,15.0,0.0,0.0,0.0
56,125.0,39.0,20.0,Vivid,36,22.153846153846153,1,1,4,0.11,0.02,0,15.0,0.0,0.0,0.0
57,125.0,39.0,20.0,Vivid,33,20.307692307692307,1,1,4,0.11,0.02,0,15.0,0.0,0.0,0.0
