,name,level,map_seed,quantity,rarity,pack_size,mods,lifeforce_quant,extra_harvest,harvest_additional_monster,harvest_duplicate_monsters,harvest_duplicate_lifeforce,harvest_t4_wilt,harvest_yellow_sextant,harvest_increased_t3,player_iiq,player_iir,delirium,type,plot,favored,t1,t2,t3,t4,t3_name,amount,type_y,normalized
0,MapWorldsDefiledCathedral,83,3627647099,248,192,68,"area contains 8 additional strongboxes
players cannot inflict exposure
players are cursed with elemental weakness
monsters have 603% increased critical strike chance
+72% to monster critical strike multiplier
monsters’ skills chain 3 additional times
monsters are hexproof
unique boss deals 40% increased damage
unique boss has 48% increased attack and cast speed
area can contain breaches
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
area contains 2 additional breaches.
150% more divination cards found in area
lifeforce dropped by harvest monsters is duplicated
harvest monsters have 100% more life
harvests contain at least one crop of yellow plants
monsters hinder on hit with spells
strongbox monsters are enraged
strongbox monsters have 500% increased item quantity
strongboxes in area are corrupted
strongboxes in area are at least rare
248% increased quantity of items found in this area
192% increased rarity of items found in this area
68% increased pack size",36,False,0,12,0,False,True,60,0,0,0,wild,0,True,14,7,2,0,thornmaw,284.0,wild,54.61538461538461
1,MapWorldsDefiledCathedral,83,3627647099,248,192,68,"area contains 8 additional strongboxes
players cannot inflict exposure
players are cursed with elemental weakness
monsters have 603% increased critical strike chance
+72% to monster critical strike multiplier
monsters’ skills chain 3 additional times
monsters are hexproof
unique boss deals 40% increased damage
unique boss has 48% increased attack and cast speed
area can contain breaches
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
area contains 2 additional breaches.
150% more divination cards found in area
lifeforce dropped by harvest monsters is duplicated
harvest monsters have 100% more life
harvests contain at least one crop of yellow plants
monsters hinder on hit with spells
strongbox monsters are enraged
strongbox monsters have 500% increased item quantity
strongboxes in area are corrupted
strongboxes in area are at least rare
248% increased quantity of items found in this area
192% increased rarity of items found in this area
68% increased pack size",36,False,0,12,0,False,True,60,0,0,0,wild,0,True,14,7,2,0,thornmaw,272.0,wild,52.30769230769231
2,MapWorldsDefiledCathedral,83,3627647099,248,192,68,"area contains 8 additional strongboxes
players cannot inflict exposure
players are cursed with elemental weakness
monsters have 603% increased critical strike chance
+72% to monster critical strike multiplier
monsters’ skills chain 3 additional times
monsters are hexproof
unique boss deals 40% increased damage
unique boss has 48% increased attack and cast speed
area can contain breaches
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
area contains 2 additional breaches.
150% more divination cards found in area
lifeforce dropped by harvest monsters is duplicated
harvest monsters have 100% more life
harvests contain at least one crop of yellow plants
monsters hinder on hit with spells
strongbox monsters are enraged
strongbox monsters have 500% increased item quantity
strongboxes in area are corrupted
strongboxes in area are at least rare
248% increased quantity of items found in this area
192% increased rarity of items found in this area
68% increased pack size",36,False,0,12,0,False,True,60,0,0,0,vivid,3,True,16,5,2,0,abberarach,216.0,vivid,41.53846153846154
3,MapWorldsDefiledCathedral,83,3627647099,248,192,68,"area contains 8 additional strongboxes
players cannot inflict exposure
players are cursed with elemental weakness
monsters have 603% increased critical strike chance
+72% to monster critical strike multiplier
monsters’ skills chain 3 additional times
monsters are hexproof
unique boss deals 40% increased damage
unique boss has 48% increased attack and cast speed
area can contain breaches
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
area contains 2 additional breaches.
150% more divination cards found in area
lifeforce dropped by harvest monsters is duplicated
harvest monsters have 100% more life
harvests contain at least one crop of yellow plants
monsters hinder on hit with spells
strongbox monsters are enraged
strongbox monsters have 500% increased item quantity
strongboxes in area are corrupted
strongboxes in area are at least rare
248% increased quantity of items found in this area
192% increased rarity of items found in this area
68% increased pack size",36,False,0,12,0,False,True,60,0,0,0,vivid,3,True,16,5,2,0,abberarach,254.0,vivid,48.84615384615385
4,MapWorldsDefiledCathedral,83,3627647099,248,192,68,"area contains 8 additional strongboxes
players cannot inflict exposure
players are cursed with elemental weakness
monsters have 603% increased critical strike chance
+72% to monster critical strike multiplier
monsters’ skills chain 3 additional times
monsters are hexproof
unique boss deals 40% increased damage
unique boss has 48% increased attack and cast speed
area can contain breaches
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
area contains 2 additional breaches.
150% more divination cards found in area
lifeforce dropped by harvest monsters is duplicated
harvest monsters have 100% more life
harvests contain at least one crop of yellow plants
monsters hinder on hit with spells
strongbox monsters are enraged
strongbox monsters have 500% increased item quantity
strongboxes in area are corrupted
strongboxes in area are at least rare
248% increased quantity of items found in this area
192% increased rarity of items found in this area
68% increased pack size",36,False,0,12,0,False,True,60,0,0,0,vivid,3,True,16,5,2,0,abberarach,266.0,vivid,51.15384615384615
5,MapWorldsDefiledCathedral,83,3627647099,248,192,68,"area contains 8 additional strongboxes
players cannot inflict exposure
players are cursed with elemental weakness
monsters have 603% increased critical strike chance
+72% to monster critical strike multiplier
monsters’ skills chain 3 additional times
monsters are hexproof
unique boss deals 40% increased damage
unique boss has 48% increased attack and cast speed
area can contain breaches
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
area contains 2 additional breaches.
150% more divination cards found in area
lifeforce dropped by harvest monsters is duplicated
harvest monsters have 100% more life
harvests contain at least one crop of yellow plants
monsters hinder on hit with spells
strongbox monsters are enraged
strongbox monsters have 500% increased item quantity
strongboxes in area are corrupted
strongboxes in area are at least rare
248% increased quantity of items found in this area
192% increased rarity of items found in this area
68% increased pack size",36,False,0,12,0,False,True,60,0,0,0,primal,5,True,15,6,2,0,crushclaw,284.0,primal,54.61538461538461
6,MapWorldsDefiledCathedral,83,3627647099,248,192,68,"area contains 8 additional strongboxes
players cannot inflict exposure
players are cursed with elemental weakness
monsters have 603% increased critical strike chance
+72% to monster critical strike multiplier
monsters’ skills chain 3 additional times
monsters are hexproof
unique boss deals 40% increased damage
unique boss has 48% increased attack and cast speed
area can contain breaches
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
area contains 2 additional breaches.
150% more divination cards found in area
lifeforce dropped by harvest monsters is duplicated
harvest monsters have 100% more life
harvests contain at least one crop of yellow plants
monsters hinder on hit with spells
strongbox monsters are enraged
strongbox monsters have 500% increased item quantity
strongboxes in area are corrupted
strongboxes in area are at least rare
248% increased quantity of items found in this area
192% increased rarity of items found in this area
68% increased pack size",36,False,0,12,0,False,True,60,0,0,0,primal,5,True,15,6,2,0,crushclaw,206.0,primal,39.61538461538461
7,MapWorldsDefiledCathedral,83,3627647099,248,192,68,"area contains 8 additional strongboxes
players cannot inflict exposure
players are cursed with elemental weakness
monsters have 603% increased critical strike chance
+72% to monster critical strike multiplier
monsters’ skills chain 3 additional times
monsters are hexproof
unique boss deals 40% increased damage
unique boss has 48% increased attack and cast speed
area can contain breaches
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
area contains 2 additional breaches.
150% more divination cards found in area
lifeforce dropped by harvest monsters is duplicated
harvest monsters have 100% more life
harvests contain at least one crop of yellow plants
monsters hinder on hit with spells
strongbox monsters are enraged
strongbox monsters have 500% increased item quantity
strongboxes in area are corrupted
strongboxes in area are at least rare
248% increased quantity of items found in this area
192% increased rarity of items found in this area
68% increased pack size",36,False,0,12,0,False,True,60,0,0,0,primal,5,True,15,6,2,0,crushclaw,274.0,primal,52.69230769230769
8,MapWorldsDefiledCathedral,83,3627647099,248,192,68,"area contains 8 additional strongboxes
players cannot inflict exposure
players are cursed with elemental weakness
monsters have 603% increased critical strike chance
+72% to monster critical strike multiplier
monsters’ skills chain 3 additional times
monsters are hexproof
unique boss deals 40% increased damage
unique boss has 48% increased attack and cast speed
area can contain breaches
slaying enemies close together can attract monsters from beyond this realm
unique bosses are possessed
area contains the sacred grove
area contains 2 additional breaches.
150% more divination cards found in area
lifeforce dropped by harvest monsters is duplicated
harvest monsters have 100% more life
harvests contain at least one crop of yellow plants
monsters hinder on hit with spells
strongbox monsters are enraged
strongbox monsters have 500% increased item quantity
strongboxes in area are corrupted
strongboxes in area are at least rare
248% increased quantity of items found in this area
192% increased rarity of items found in this area
68% increased pack size",36,False,0,12,0,False,True,60,0,0,0,primal,5,True,15,6,2,0,crushclaw,70.0,primal,13.461538461538462
32,MapWorldsDefiledCathedral,83,4123477958,231,163,68,"area contains 8 additional strongboxes
players are cursed with temporal chains
players are cursed with elemental weakness
-16% maximum player resistances
67% more monster life
monsters deal 158% extra physical damage as cold
area can contain breaches
slaying enemies close together can attract monsters from beyond this realm
area contains the sacred grove
area contains 2 additional breaches.
150% more divination cards found in area
lifeforce dropped by harvest monsters is duplicated
harvest monsters have 100% more life
harvests contain at least one crop of yellow plants
monsters have 80% increased accuracy rating
area is inhabited by cultists of kitava
players have -32% to amount of suppressed spell damage prevented
strongbox monsters are enraged
strongbox monsters have 500% increased item quantity
strongboxes in area are corrupted
strongboxes in area are at least rare
231% increased quantity of items found in this area
163% increased rarity of items found in this area
68% increased pack size",36,False,0,12,0,False,True,60,0,0,0,wild,15,True,15,6,2,0,bristle matron,266.0,wild,52.88270377733598
