,map_seed,level,extra_harvest,harvest_yellow_sextant,harvest_increased_t3,harvest_t4_wilt,type,plot,favored,t1,t2,t3,t4,t3_name,quantity,rarity,pack_size,delirium
0,3627647099,83,False,True,60,False,wild,0,True,14,7,2,0,thornmaw,248,192,68,0
1,3627647099,83,False,True,60,False,vivid,1,False,17,6,0,0,,248,192,68,0
2,3627647099,83,False,True,60,False,primal,2,False,17,6,0,0,,248,192,68,0
3,3627647099,83,False,True,60,False,vivid,3,True,16,5,2,0,abberarach,248,192,68,0
4,3627647099,83,False,True,60,False,vivid,4,False,14,8,1,0,whipleg,248,192,68,0
5,3627647099,83,False,True,60,False,primal,5,True,15,6,2,0,crushclaw,248,192,68,0
6,940838498,83,False,True,60,False,wild,6,False,16,6,1,0,infestation queen,238,168,70,0
7,940838498,83,False,True,60,False,vivid,7,True,15,5,3,0,devourer,238,168,70,0
8,940838498,83,False,True,60,False,wild,8,True,13,7,2,1,brambleback,238,168,70,0
9,940838498,83,False,True,60,False,vivid,9,False,18,4,1,0,whipleg,238,168,70,0
10,940838498,83,False,True,60,False,vivid,10,True,14,7,2,0,abberarach,238,168,70,0
11,940838498,83,False,True,60,False,wild,11,False,19,4,0,0,,238,168,70,0
12,940838498,83,False,True,60,False,vivid,12,False,17,6,0,0,,238,168,70,0
13,940838498,83,False,True,60,False,vivid,13,True,17,4,2,0,devourer,238,168,70,0
14,4123477958,83,False,True,60,False,vivid,14,False,17,6,0,0,,231,163,68,0
15,4123477958,83,False,True,60,False,wild,15,True,15,6,2,0,bristle matron,231,163,68,0
16,4123477958,83,False,True,60,False,primal,16,True,16,5,2,0,reborn,231,163,68,0
17,4123477958,83,False,True,60,False,vivid,17,False,17,5,1,0,devourer,231,163,68,0
18,4123477958,83,False,True,60,False,vivid,18,False,18,4,1,0,abberarach,231,163,68,0
19,4123477958,83,False,True,60,False,vivid,19,True,16,6,1,0,watcher,231,163,68,0
20,4123477958,83,False,True,60,False,vivid,20,True,13,8,2,0,whipleg,231,163,68,0
21,4123477958,83,False,True,60,False,wild,21,False,17,4,2,0,infestation queen,231,163,68,0
22,3359786018,83,False,True,60,False,vivid,22,True,13,8,2,0,vulture,215,137,68,0
23,3359786018,83,False,True,60,False,vivid,23,False,17,6,0,0,,215,137,68,0
24,3359786018,83,False,True,60,False,vivid,24,True,15,6,2,0,watcher,215,137,68,0
25,3359786018,83,False,True,60,False,vivid,25,False,17,6,0,0,,215,137,68,0
26,3359786018,83,False,True,60,False,vivid,26,False,18,5,0,0,,215,137,68,0
27,3359786018,83,False,True,60,False,wild,27,True,14,7,2,0,hellion alpha,215,137,68,0
28,3488178848,83,False,True,60,False,wild,28,False,18,5,0,0,,221,156,75,0
29,3488178848,83,False,True,60,False,vivid,29,True,17,6,0,0,,221,156,75,0
30,3488178848,83,False,True,60,False,vivid,30,True,18,4,1,0,devourer,221,156,75,0
31,3488178848,83,False,True,60,False,primal,31,False,17,5,1,0,rhex matriarch,221,156,75,0
32,3488178848,83,False,True,60,False,primal,32,True,17,5,1,0,crushclaw,221,156,75,0
33,3488178848,83,False,True,60,False,vivid,33,False,17,6,0,0,,221,156,75,0
34,3488178848,83,False,True,60,False,primal,34,True,17,4,2,0,rhex matriarch,221,156,75,0
35,3488178848,83,False,True,60,False,vivid,35,False,16,7,0,0,,221,156,75,0
36,3971852057,83,False,True,60,False,wild,36,True,14,6,3,0,infestation queen,153,82,48,0
37,3971852057,83,False,True,60,False,vivid,37,False,17,6,0,0,,153,82,48,0
